model_name	file_source	ndcg@20	recall@20	hit@20	mrr@20	precision@20	map@20	giniindex@20	itemcoverage@20	shannonentropy@20	popularitypercentage@20	Value Unfairness of sensitive attribute gender	Absolute Unfairness of sensitive attribute gender	Underestimation Unfairness of sensitive attribute gender	Overestimation Unfairness of sensitive attribute gender	NonParity Unfairness of sensitive attribute gender	Differential Fairness of sensitive attribute gender
FOCF	Mar-04-2026_19-22-54.log	0.2319	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.9191
FOCF	Mar-04-2026_20-27-55.log	0.0689	0.0821	0.4856	0.1486	0.0356	0.0259	0.8859	0.4492	0.0043	0.2968	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_23-37-03.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-05-2026_01-04-52.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_22-09-29.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_23-13-07.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
FOCF	Mar-04-2026_20-34-58.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
FOCF	Mar-04-2026_20-07-22.log	0.2319	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.1129	0.0163	0.0286	0.9199
MMFOCF	Mar-05-2026_05-21-46.log	0.1648	0.1754	0.7238	0.3457	0.0697	0.0796	0.9549	0.2621	0.0063	0.501	0.1402	0.1258	0.018	0.1222	0.0082	1.3473
MMFOCF	Mar-05-2026_01-20-55.log	0.1649	0.1754	0.7242	0.3461	0.0697	0.0797	0.9549	0.2621	0.0063	0.5009	0.1402	0.1258	0.018	0.1222	0.0084	1.3471
MMFOCF	Mar-04-2026_16-32-14.log	0.2155	0.2326	0.7982	0.3853	0.1014	0.1092	0.9541	0.2246	0.0074	0.7629	0.1334	0.1208	0.0155	0.1179	0.0087	1.3446
MMFOCF	Mar-04-2026_23-04-05.log	0.1648	0.1754	0.7237	0.3457	0.0697	0.0797	0.9549	0.2621	0.0063	0.501	0.1402	0.1258	0.018	0.1222	0.0084	1.3472
MMFOCF	Mar-04-2026_17-43-47.log	0.2099	0.2381	0.8084	0.3628	0.1032	0.1032	0.9234	0.4019	0.0045	0.6464	0.1331	0.1203	0.0162	0.1168	0.0088	1.3414
MMFOCF	Mar-04-2026_21-03-05.log	0.1649	0.1755	0.7238	0.3457	0.0697	0.0797	0.9549	0.2621	0.0063	0.5009	0.1402	0.1258	0.018	0.1222	0.0084	1.3472
MMFOCF	Mar-04-2026_18-54-27.log	0.2154	0.2328	0.7988	0.3848	0.1015	0.1091	0.9541	0.2246	0.0074	0.763	0.1335	0.1208	0.0156	0.1179	0.0083	1.3444
MMFOCF	Mar-05-2026_07-47-53.log	0.2155	0.2326	0.7982	0.3851	0.1015	0.1092	0.9541	0.2255	0.0073	0.7622	0.1335	0.1209	0.0156	0.118	0.0089	1.3439
MMFOCF	Mar-05-2026_00-19-32.log	0.2099	0.2377	0.8079	0.3632	0.1032	0.1033	0.9236	0.401	0.0045	0.6465	0.1331	0.1203	0.0163	0.1168	0.0087	1.3414
MMFOCF	Mar-04-2026_14-47-21.log	0.2098	0.2377	0.8079	0.3626	0.1031	0.1032	0.9235	0.4029	0.0045	0.6461	0.1331	0.1203	0.0162	0.1169	0.0089	1.3414
MMFOCF	Mar-05-2026_07-05-20.log	0.2098	0.2378	0.8079	0.363	0.1032	0.1032	0.9235	0.4029	0.0045	0.6461	0.1331	0.1203	0.0162	0.1169	0.0089	1.3413
MMFOCF	Mar-04-2026_16-06-34.log	0.1649	0.1755	0.7238	0.3457	0.0697	0.0797	0.9549	0.2621	0.0063	0.5011	0.1402	0.1258	0.018	0.1222	0.0084	1.3472
MMFOCF	Mar-05-2026_04-45-12.log	0.2153	0.2325	0.7982	0.3853	0.1013	0.1091	0.9541	0.2246	0.0074	0.7616	0.1334	0.1208	0.0155	0.1179	0.0085	1.3446
MMFOCF	Mar-05-2026_10-12-41.log	0.1648	0.1754	0.7237	0.3457	0.0697	0.0797	0.9549	0.2621	0.0063	0.501	0.1402	0.1258	0.018	0.1222	0.0084	1.3472
MMFOCF	Mar-05-2026_09-28-35.log	0.2155	0.2326	0.7982	0.3851	0.1015	0.1092	0.9541	0.2255	0.0073	0.7622	0.1335	0.1209	0.0156	0.118	0.0089	1.3439
MMFOCF	Mar-04-2026_15-48-35.log	0.2153	0.2327	0.7992	0.3852	0.1014	0.1091	0.9541	0.2261	0.0073	0.7625	0.1334	0.1208	0.0155	0.1179	0.0087	1.3447
MMFOCF	Mar-05-2026_08-28-55.log	0.1648	0.1754	0.7237	0.3457	0.0697	0.0797	0.9549	0.2621	0.0063	0.501	0.1402	0.1258	0.018	0.1222	0.0084	1.3472
MMFOCF	Mar-04-2026_16-12-32.log	0.2098	0.2377	0.8088	0.3629	0.1032	0.1032	0.9234	0.4032	0.0045	0.6458	0.1331	0.1204	0.0162	0.1169	0.009	1.3411
MMFOCF	Mar-04-2026_23-42-05.log	0.2153	0.2326	0.7983	0.3853	0.1012	0.109	0.9541	0.2258	0.0073	0.762	0.1334	0.1208	0.0155	0.1179	0.0082	1.3451
MMFOCF	Mar-04-2026_17-37-15.log	0.1648	0.1754	0.7237	0.3457	0.0697	0.0797	0.9549	0.2621	0.0063	0.501	0.1402	0.1258	0.018	0.1222	0.0084	1.3472
MMFOCF	Mar-05-2026_08-42-42.log	0.2098	0.2378	0.8079	0.363	0.1032	0.1032	0.9235	0.4029	0.0045	0.6461	0.1331	0.1203	0.0162	0.1169	0.0089	1.3413
MMFOCF	Mar-04-2026_21-37-04.log	0.2152	0.2324	0.7978	0.3851	0.1013	0.109	0.9541	0.2261	0.0073	0.7616	0.1333	0.1207	0.0155	0.1179	0.0082	1.3448
